CustomerID,Recency,Frequency,Monetary,Unique_Products
12347.0,2,7,4310.0,103
12348.0,75,4,1437.24,21
12349.0,19,1,1457.55,72
12350.0,310,1,294.4,16
12352.0,36,7,1385.74,57
12353.0,204,1,89.0,4
12354.0,232,1,1079.4,58
12355.0,214,1,459.4,13
12356.0,23,3,2487.43,52
12357.0,33,1,6207.67,131
12358.0,2,2,928.0600000000001,12
12360.0,52,3,2302.06,104
12361.0,287,1,174.9,9
12362.0,3,10,4737.23,200
12363.0,110,2,552.0,23
12364.0,8,4,1208.1,69
12365.0,291,1,320.69,21
12367.0,4,1,150.9,10
12370.0,51,4,3421.94,142
12371.0,60,1,1527.96,62
12372.0,72,3,1196.04,33
12373.0,311,1,324.6,13
12374.0,25,1,622.93,32
12375.0,11,2,377.5,13
12379.0,82,2,777.24,38
12380.0,22,4,2427.81,76
12381.0,5,3,1474.81,69
12383.0,185,5,1628.56,83
12384.0,29,2,425.27000000000004,25
12386.0,338,2,401.9,10
12388.0,16,6,2780.66,57
12390.0,80,1,504.84000000000003,31
12391.0,22,1,439.66,92
12393.0,72,4,1582.6000000000001,47
12394.0,64,2,1080.48,25
12395.0,19,12,2682.63,90
12397.0,36,2,2214.9,109
12398.0,46,1,1435.66,84
12399.0,119,4,1033.65,46
12401.0,303,1,69.3,4
12402.0,323,1,195.6,10
12403.0,50,1,391.7,4
12405.0,149,1,1390.39,53
12406.0,22,2,3415.3,92
12407.0,50,5,1507.1200000000001,56
12408.0,33,5,2618.55,80
12410.0,309,2,533.33,25
12412.0,75,3,1142.88,42
12413.0,67,3,686.1,28
12414.0,217,3,442.41,15
12417.0,3,9,3226.1,157
12418.0,113,1,668.58,34
12420.0,64,1,600.39,29
12421.0,16,4,639.04,31
12422.0,96,3,683.5600000000001,38
12423.0,1,8,1634.31,96
12424.0,163,2,1760.96,30
12425.0,78,1,777.2,36
12426.0,195,1,510.73,29
12427.0,22,3,699.8,25
12428.0,26,8,6405.26,256
12429.0,9,4,3388.4,81
12430.0,43,1,216.4,10
12431.0,36,15,6314.95,162
12432.0,43,4,4359.32,106
12434.0,85,2,806.14,46
12435.0,80,2,7829.89,31
12436.0,100,1,429.01000000000005,15
12437.0,2,18,4447.41,117
12438.0,14,2,2466.85,83
12441.0,367,1,155.55,10
12442.0,3,1,144.06,11
12444.0,21,5,4085.46,137
12445.0,22,1,77.4,3
12446.0,58,1,1002.3100000000001,57
12447.0,243,1,431.49,25
12448.0,44,1,365.45,21
12449.0,22,4,3596.29,117
12450.0,156,2,197.88,7
12452.0,17,1,348.57,20
12453.0,134,1,707.09,43
12454.0,56,1,3528.34,15
12455.0,73,5,2339.86,84
12456.0,44,3,2581.04,104
12457.0,66,6,2043.23,52
12458.0,71,2,787.4,34
12461.0,155,1,626.88,34
12462.0,19,2,937.59,50
12463.0,53,4,1200.78,64
12464.0,10,8,957.05,5
12465.0,17,2,682.1899999999999,45
12468.0,188,2,657.54,35
12472.0,32,7,6068.11,218
12473.0,54,3,2585.73,138
12475.0,54,1,669.38,35
12476.0,16,11,5898.42,176
12478.0,4,1,545.99,35
12479.0,11,1,473.2,30
12480.0,28,4,2885.63,128
12481.0,23,10,5003.82,149
12483.0,17,8,1910.98,45
12484.0,35,4,3939.32,255
12488.0,10,3,1244.66,45
12489.0,336,1,298.93,14
12490.0,5,10,4859.93,130
12491.0,39,1,424.40000000000003,24
12492.0,63,2,227.21,18
12493.0,166,2,379.74,18
12494.0,16,7,1084.1000000000001,62
12497.0,82,1,953.1,13
12498.0,21,3,349.70000000000005,20
12500.0,23,10,4056.82,32
12502.0,96,5,2995.87,101
12504.0,18,2,428.04999999999995,5
12506.0,233,1,73.5,23
12507.0,134,3,1052.81,18
12508.0,26,2,397.88,57
12509.0,284,1,158.5,6
12510.0,143,2,814.5699999999999,28
12512.0,66,2,132.18,31
12513.0,113,1,558.29,34
12514.0,267,1,1017.68,51
12515.0,353,1,278.7,15
12516.0,78,2,1186.06,19
12517.0,28,4,2301.6,231
12518.0,1,5,1840.89,83
12519.0,64,1,276.84,16
12520.0,79,5,2346.2599999999998,120
12521.0,143,1,545.68,37
12522.0,39,2,156.72,10
12523.0,19,11,1699.77,83
12524.0,9,8,3945.72,112
12526.0,1,3,1172.66,63
12527.0,82,3,330.71000000000004,17
12528.0,9,6,1645.48,49
12530.0,60,4,1500.28,50
12531.0,15,1,125.22,17
12532.0,30,1,313.83000000000004,15
12534.0,131,1,981.18,62
12535.0,92,2,716.35,28
12538.0,29,1,363.95,21
12539.0,22,4,5568.35,157
12541.0,30,3,841.18,45
12544.0,36,1,316.7,18
12545.0,75,2,832.39,41
12546.0,47,2,1021.5,58
12547.0,198,2,151.79999999999998,6
12548.0,166,1,67.19999999999999,4
12550.0,79,1,824.83,56
12551.0,358,1,168.0,10
12552.0,40,1,317.82,19
12553.0,8,10,3278.28,94
12556.0,50,2,599.56,100
12557.0,16,5,11990.960000000001,15
12558.0,8,1,269.96,11
12559.0,311,2,525.71,20
12560.0,5,2,1918.01,90
12561.0,303,1,238.85,16
12562.0,8,7,3385.7400000000002,98
12564.0,261,1,402.9,20
12565.0,289,1,145.92,9
12566.0,86,1,297.65,18
12571.0,40,2,519.61,31
12572.0,9,2,912.42,52
12573.0,227,1,160.54000000000002,26
12574.0,316,1,182.45000000000002,10
12576.0,36,5,1315.83,72
12577.0,35,3,622.65,136
12578.0,21,2,2402.51,110
12579.0,78,1,386.42,28
12580.0,247,1,379.7,23
12581.0,40,1,179.71,14
12582.0,239,2,351.36,20
12583.0,3,15,6705.38,114
12584.0,4,9,2254.15,43
12585.0,234,2,1824.1,76
12586.0,17,1,196.94000000000003,11
12587.0,8,1,104.0,3
12588.0,39,1,174.89999999999998,9
12589.0,29,2,574.68,28
12591.0,317,1,368.85,25
12592.0,92,2,401.6,10
12593.0,109,3,382.09999999999997,13
12594.0,38,9,3208.2200000000003,49
12596.0,51,2,450.27,24
12597.0,19,4,3195.22,183
12598.0,10,7,2807.08,83
12599.0,29,7,888.58,31
12600.0,29,10,2311.04,31
12601.0,190,5,487.06,20
12602.0,59,1,153.12,12
12603.0,22,1,613.1999999999999,1
12604.0,79,2,236.18,14
12607.0,60,1,1579.51,101
12609.0,78,3,964.85,56
12610.0,23,4,1747.54,84
12611.0,52,1,1193.32,65
12612.0,74,1,668.0400000000001,18
12613.0,57,4,3092.38,123
12614.0,278,1,315.6,20
12615.0,2,4,2093.19,81
12616.0,95,2,641.3,24
12617.0,29,1,352.98,39
12618.0,22,1,137.31,10
12619.0,16,8,2945.56,48
12620.0,15,3,1303.41,88
12622.0,232,1,162.1,10
12623.0,276,1,269.1,17
12624.0,106,2,569.13,35
12625.0,212,2,2413.82,72
12626.0,23,9,5954.48,231
12627.0,11,6,4082.53,161
12628.0,4,3,732.46,33
12630.0,10,2,1030.88,59
12631.0,57,1,480.5,30
12633.0,59,4,1929.98,72
12635.0,90,2,1509.18,95
12637.0,67,8,5804.9,204
12638.0,33,1,511.69,38
12639.0,239,1,366.1,21
12640.0,24,3,994.58,46
12641.0,115,1,145.9,9
12642.0,25,3,905.26,38
12643.0,128,6,3041.64,10
12644.0,130,1,477.91,31
12645.0,34,4,1631.18,57
12646.0,5,2,1346.97,43
12647.0,22,12,3146.82,77
12648.0,155,1,300.05,20
12649.0,107,3,569.51,27
12650.0,3,1,242.44000000000003,19
12651.0,335,1,114.0,9
12652.0,331,1,793.98,47
12653.0,149,2,2209.85,37
12654.0,11,5,529.98,30
12656.0,17,5,3619.17,88
12657.0,11,4,1427.18,34
12658.0,19,1,632.05,35
12659.0,30,1,73.68,4
12660.0,11,1,227.1,12
12662.0,1,11,3543.78,128
12664.0,8,9,4391.88,9
12665.0,325,1,45.0,2
12667.0,58,1,460.13,32
12668.0,12,4,3177.15,114
12669.0,151,2,1427.73,96
12670.0,10,5,2744.05,57
12672.0,330,1,225.89999999999998,10
12673.0,5,2,574.52,41
12674.0,39,4,1844.6,51
12676.0,25,6,1091.39,32
12679.0,59,4,951.02,42
12680.0,1,4,790.81,32
12683.0,4,14,7612.57,176
12684.0,8,6,2073.63,59
12685.0,28,6,2575.08,116
12686.0,372,1,71.14,6
12689.0,26,2,1139.61,56
12690.0,206,1,335.01,15
12691.0,28,5,927.8,20
12693.0,127,4,711.91,34
12694.0,70,2,761.67,31
12695.0,7,4,582.1,23
12697.0,29,3,757.59,36
12700.0,8,4,4525.99,192
12701.0,80,2,725.71,49
12702.0,20,1,201.0,11
12703.0,71,1,265.55,20
12704.0,7,8,1740.84,63
12705.0,15,8,6382.29,227
12707.0,292,1,603.42,33
12708.0,30,10,2442.91,85
12709.0,15,15,9400.52,92
12710.0,97,3,1023.02,74
12712.0,29,13,3928.13,57
12713.0,1,1,794.55,37
12714.0,9,5,4294.86,215
12715.0,106,1,263.36,19
12716.0,4,2,963.49,59
12717.0,151,2,830.98,48
12718.0,71,1,202.25,18
12719.0,5,2,572.95,33
12721.0,32,6,2386.13,132
12722.0,85,4,979.63,49
12723.0,4,5,707.07,52
12724.0,5,4,923.41,46
12725.0,371,1,371.8,23
12726.0,28,7,2411.1,56
12727.0,11,7,3440.7,108
12728.0,71,4,728.33,37
12729.0,114,1,417.01,25
12732.0,180,1,218.26000000000002,11
12733.0,234,1,383.95,22
12734.0,353,1,110.39999999999999,4
12735.0,315,2,689.5699999999999,37
12736.0,333,1,144.0,3
12738.0,372,1,137.35,10
12739.0,99,1,975.54,37
12740.0,64,1,427.6,27
12743.0,134,2,540.13,114
12747.0,2,11,4196.01,42
12749.0,4,5,4040.88,159
12750.0,129,1,275.88,15
12752.0,81,1,4366.78,53
12754.0,236,3,3010.74,49
12756.0,87,1,112.07999999999998,4
12757.0,16,9,4176.75,235
12758.0,117,2,2791.59,84
12759.0,52,3,1411.44,80
12762.0,8,2,1702.52,61
12763.0,138,2,494.08,16
12764.0,317,1,1693.88,45
12766.0,4,7,6457.63,204
12769.0,239,1,1143.6,32
12770.0,211,1,1351.45,12
12772.0,60,1,752.47,54
12775.0,17,5,1281.04,46
12778.0,20,6,693.23,39
12779.0,38,8,3981.36,88
12781.0,64,2,786.74,24
12782.0,5,5,1938.92,80
12783.0,2,4,1295.87,74
12784.0,15,1,476.82,53
12785.0,364,1,255.95,13
12787.0,10,3,418.66,16
12789.0,65,1,76.85,3
12790.0,192,1,294.92,20
12791.0,374,1,177.60000000000002,1
12792.0,257,1,344.53999999999996,24
12793.0,335,2,461.48,20
12794.0,53,2,860.41,43
12795.0,19,1,318.48,13
12797.0,366,1,226.03,12
12798.0,10,3,6977.04,6
12802.0,187,1,397.58,24
12808.0,37,3,455.65000000000003,26
12809.0,178,1,405.31,24
12811.0,262,2,458.85,26
12812.0,45,1,229.64000000000001,15
12814.0,102,1,85.92,1
12815.0,148,2,863.46,37
12816.0,96,2,452.20000000000005,26
12817.0,281,1,126.03999999999999,3
12818.0,262,1,1182.0800000000002,13
12820.0,3,4,942.34,55
12821.0,214,1,92.72,6
12822.0,71,2,948.88,41
12823.0,75,5,1759.5,1
12824.0,60,1,397.12,25
12826.0,3,7,1474.72,58
12827.0,6,3,430.15000000000003,19
12828.0,3,6,1018.71,46
12829.0,337,2,293.0,9
12830.0,38,6,6814.64,13
12831.0,262,1,215.05,9
12832.0,32,2,383.03,27
12833.0,145,1,417.38,24
12834.0,283,1,312.38,18
12836.0,59,4,2610.36,148
